goalie_id,goalie_name,season,goalie_team_name,GP,SA,GA,xGA,HD_Shots,HD_Goals,MD_Shots,MD_Goals,LD_Shots,LD_Goals,SA_EV,GA_EV,xGA_EV,SA_PK,GA_PK,xGA_PK,Sv%,xSv%,dSv%,GSAx,HDSv%,MDSv%,LDSv%,Sv%_EV,GSAx_EV,Sv%_PK,GSAx_PK,xGA/GP,GA/GP,GSAx/GP,EV GSAx/GP,PK GSAx/GP,goalie_curr_team
9065,Ben Hrebik,2026,BAR,38,1353,108,141.69725,133,24,720,68,500,16,1027,63,97.00478586,257,37,36.4021338,92.01773836,89.52718034,2.490558023,33.69725005,81.95488722,90.55555556,96.8,93.86562804,34.00478586,85.60311284,-0.597866204,3.728875001,2.842105263,0.886769738,0.894862786,-0.015733321,BAR
8819,Carter George,2026,OS/SOO,38,1080,97,129.8327875,124,21,664,69,292,7,800,60,88.37092546,221,33,33.59811577,91.01851852,87.97844561,3.040072912,32.83278745,83.06451613,89.60843373,97.60273973,92.5,28.37092546,85.0678733,0.598115771,3.416652301,2.552631579,0.864020722,0.746603302,0.015739889,SOO
9513,Ryder Fetterolf,2026,OTT,35,931,75,99.9662423,98,20,512,46,321,9,722,48,69.68505441,156,22,23.1164088,91.94414608,89.2624874,2.681658679,24.9662423,79.59183673,91.015625,97.19626168,93.35180055,21.68505441,85.8974359,1.116408799,2.856178351,2.142857143,0.713321209,0.619572983,0.031897394,OTT
8371,Mason Vaccari,2026,FLNT,44,1299,117,141.4653516,136,27,721,79,442,11,1004,82,99.96235121,248,32,35.29384971,90.99307159,89.1096727,1.883398894,24.46535163,80.14705882,89.04299584,97.51131222,91.83266932,17.96235121,87.09677419,3.29384971,3.215121628,2.659090909,0.556030719,0.408235255,0.074860221,FLNT
8823,Easton Rye,2026,PBO,48,1547,130,153.4708941,134,21,807,91,606,18,1214,96,108.8282989,239,28,32.98872648,91.59663866,90.07945093,1.517187724,23.4708941,84.32835821,88.72366791,97.02970297,92.092257,12.82829888,88.28451883,4.988726477,3.197310294,2.708333333,0.48897696,0.267256227,0.103931802,PBO
8732,Ryerson Leenders,2026,BFD,34,1005,89,112.3763614,116,20,566,62,323,7,811,60,85.19290427,159,25,23.26268524,91.14427861,88.8182725,2.326006107,23.37636138,82.75862069,89.0459364,97.83281734,92.60172626,25.19290427,84.27672956,-1.737314759,3.305187099,2.617647059,0.687540041,0.740967773,-0.051097493,BFD
8754,David Egorov,2026,BFD,24,757,63,82.00704639,79,16,399,39,279,8,605,48,60.77466004,125,12,18.17339767,91.67767503,89.16683667,2.51083836,19.00704639,79.74683544,90.22556391,97.13261649,92.0661157,12.77466004,90.4,6.173397672,3.416960266,2.625,0.791960266,0.532277501,0.257224903,BFD
9443,Sebastian Gatto,2026,LDN,27,735,60,77.64714362,76,13,384,40,275,7,599,40,58.3690222,109,16,16.06154896,91.83673469,89.43576277,2.400971921,17.64714362,82.89473684,89.58333333,97.45454545,93.32220367,18.3690222,85.32110092,0.061548961,2.875820134,2.222222222,0.653597912,0.680334156,0.002279591,LDN
9189,Arvin Jaswal,2026,BAR,18,568,42,58.77640487,45,6,313,34,210,2,413,28,36.54827282,128,13,18.74794471,92.6056338,89.6520414,2.953592407,16.77640487,86.66666667,89.13738019,99.04761905,93.22033898,8.548272817,89.84375,5.747944711,3.265355826,2.333333333,0.932022493,0.474904045,0.319330262,BAR
9297,Trenten Bennett,2026,OS,22,722,75,90.07241237,100,24,448,46,174,5,534,50,60.53306226,153,21,24.316869,89.61218837,87.52459662,2.087591742,15.07241237,76,89.73214286,97.12643678,90.63670412,10.53306226,86.2745098,3.316868998,4.094200562,3.409090909,0.685109653,0.478775557,0.150766773,OS
