team_name,season,GP,xGF,GF,SF,xGA,GA,SA,xGF_EV,GF_EV,SF_EV,xGA_EV,GA_EV,SA_EV,xGF_PP,GF_PP,xGA_PK,GA_PK,GF%,Goal_Diff,xGF%,xG_Diff,SF%_EV,GF_vs_xGF (Shooting),GA_vs_xGA (Goaltending),G_xG_Diff,xGF%_EV,GF%_EV,EVxG_Diff,EV_GAx (EV Shooting),EV_GSAx (EV Goaltending),PP_GAx (PP Shooting),PK_GSAx (PK Goaltending),SF%,Sh%,Sv%,PDO,xGF/GP,xGA/GP,GF/GP,GA/GP,EV xGF/GP,EV xGA/GP,EV GF/GP,EV GA/GP,PP xGF/GP,PP GF/GP,PK xGA/GP,PK GA/GP
WSR,2026,58,199.3019384,216,1708,144.3216543,147,1405,144.4534168,147,1317,101.1961925,94,1097,43.62280646,50,31.71086031,31,59.50413223,69,58.00007409,54.98028402,54.55675228,16.69806163,-2.678345655,14.01971598,58.80465971,60.99585062,43.25722434,2.546583196,7.196192466,6.377193543,0.71086031,54.86668808,12.64637002,89.53736655,102.1837366,3.436240317,2.488304385,3.724137931,2.534482759,2.490576152,1.744761939,2.534482759,1.620689655,0.752117353,0.862068966,0.546738971,0.534482759
SOO,2026,58,197.6190644,221,1818,147.6492287,133,1261,145.8461343,151,1435,103.8372743,87,956,36.35372072,38,34.95244713,33,62.42937853,88,57.23637773,49.96983573,60.0167294,23.3809356,14.64922868,38.03016427,58.41242521,63.44537815,42.00886,5.153865727,16.83727427,1.646279275,1.952447131,59.04514453,12.15621562,89.45281523,101.6090308,3.407225248,2.545676356,3.810344828,2.293103448,2.514588522,1.790297832,2.603448276,1.5,0.626788288,0.655172414,0.602628399,0.568965517
KIT,2026,58,208.5690699,214,1826,152.720474,149,1431,148.7854957,126,1404,116.947186,111,1166,50.04326461,55,29.86002427,35,58.95316804,65,57.72906341,55.84859589,54.63035019,5.430930074,3.720474039,9.151404113,55.99066503,53.16455696,31.83830967,-22.78549571,5.947186042,4.956735392,-5.139975725,56.06386245,11.7196057,89.58770091,101.3073066,3.596018447,2.633111621,3.689655172,2.568965517,2.565267167,2.016330794,2.172413793,1.913793103,0.862814907,0.948275862,0.514828005,0.603448276
OTT,2026,57,201.4296683,218,1853,165.3637733,136,1551,145.6814797,162,1447,116.435949,84,1195,50.63954493,41,36.28699664,38,61.5819209,82,54.91637675,36.06589497,54.76911431,16.57033172,29.36377331,45.93410503,55.57870776,65.85365854,29.24553068,16.31852033,32.43594899,-9.639544931,-1.713003362,54.4359577,11.76470588,91.23146357,102.9961695,3.533853829,2.90111883,3.824561404,2.385964912,2.555815433,2.042735947,2.842105263,1.473684211,0.888413069,0.719298246,0.636613976,0.666666667
BAR,2026,57,216.1946398,205,1955,203.2012383,155,1951,156.7275977,135,1530,136.0688625,94,1466,48.33490792,50,55.31577158,50,56.94444444,50,51.54906166,12.9934015,51.06809079,-11.19463983,48.20123833,37.0065985,53.52783213,58.95196507,20.65873519,-21.72759769,42.0688625,1.665092083,5.315771584,50.05120328,10.4859335,92.05535623,102.5412897,3.792888418,3.564934006,3.596491228,2.719298246,2.749606977,2.387173026,2.368421053,1.649122807,0.847980841,0.877192982,0.970452133,0.877192982
NB,2026,58,206.1542414,191,1959,176.3093831,187,1706,150.5903216,137,1560,133.0916133,121,1396,43.9534686,33,37.07875839,50,50.52910053,4,53.90165972,29.84485833,52.77401894,-15.15424141,-10.69061692,-25.84485833,53.08421266,53.10077519,17.49870829,-13.59032156,12.09161326,-10.9534686,-12.92124161,53.45156889,9.749872384,89.03868699,98.78855937,3.554383473,3.03981695,3.293103448,3.224137931,2.596384854,2.294682987,2.362068966,2.086206897,0.757818424,0.568965517,0.639288938,0.862068966
BFD,2026,58,217.7612289,250,1914,197.4126164,161,1797,165.1980438,172,1556,147.9049554,111,1439,39.74949782,57,42.52790052,38,60.82725061,89,52.45061348,20.34861248,51.95325543,32.2387711,36.41261643,68.65138752,52.76156545,60.77738516,17.29308848,6.801956152,36.90495536,17.25050218,4.527900521,51.5763945,13.06165099,91.04062326,104.1022743,3.754503947,3.4036658,4.310344828,2.775862069,2.848242135,2.550085437,2.965517241,1.913793103,0.685336169,0.982758621,0.733239664,0.655172414
FLNT,2026,58,200.4397466,223,1720,188.2535948,165,1703,148.9318103,161,1352,134.5955383,120,1324,41.80369774,45,45.72989313,39,57.4742268,58,51.56757918,12.18615175,50.52316891,22.5602534,23.25359485,45.81384825,52.52819915,57.29537367,14.33627202,12.06818966,14.59553832,3.19630226,6.729893128,50.24832019,12.96511628,90.3112155,103.2763318,3.4558577,3.245751635,3.844827586,2.844827586,2.567789833,2.32061273,2.775862069,2.068965517,0.720753409,0.775862069,0.788446433,0.672413793
LDN,2026,57,186.5624395,195,1748,178.5174511,170,1701,134.7321873,143,1394,132.8321051,117,1376,44.26382792,42,33.96579851,31,53.42465753,25,51.10181204,8.044988391,50.32490975,8.43756047,8.51745114,16.95501161,50.35507022,55,1.90008225,8.267812671,15.83210508,-2.263827916,2.965798513,50.68135692,11.15560641,90.00587889,101.1614853,3.273025255,3.131885108,3.421052632,2.98245614,2.363722585,2.330387808,2.50877193,2.052631579,0.776558384,0.736842105,0.595891202,0.543859649
PBO,2026,58,203.7197169,197,1981,202.9931546,199,1973,145.3602931,134,1545,143.773918,143,1535,50.39718286,44,45.78366528,40,49.74747475,-2,50.08932128,0.726562268,50.16233766,-6.719716858,3.99315459,-2.726562268,50.27433195,48.37545126,1.586375044,-11.36029306,0.773918013,-6.397182857,5.783665284,50.10116338,9.944472489,89.9138368,99.85830929,3.512408911,3.499881976,3.396551724,3.431034483,2.506211949,2.478860655,2.310344828,2.465517241,0.868916946,0.75862069,0.789373539,0.689655172
GUE,2026,57,202.6046953,194,1770,215.3431622,221,1814,152.3130268,136,1421,157.9536162,160,1431,40.8778428,36,46.03154535,36,46.74698795,-27,48.47606983,-12.73846696,49.82468443,-8.604695279,-5.656837764,-14.26153304,49.09100938,45.94594595,-5.640589393,-16.3130268,-2.046383807,-4.877842795,10.03154535,49.38616071,10.96045198,87.81697905,98.77743103,3.554468338,3.777950215,3.403508772,3.877192982,2.672158365,2.771116074,2.385964912,2.807017544,0.717155137,0.631578947,0.807570971,0.631578947
KGN,2026,58,179.4489612,179,1609,188.9346462,179,1832,136.6137179,138,1294,144.5830097,131,1494,34.43416302,29,36.31389879,30,50,0,48.71252618,-9.485685023,46.41319943,-0.448961218,9.934646241,9.485685023,48.5829686,51.30111524,-7.969291843,1.386282107,13.58300974,-5.434163015,6.313898791,46.75966289,11.12492231,90.22925764,101.35418,3.093947607,3.257493901,3.086206897,3.086206897,2.355408929,2.492810513,2.379310345,2.25862069,0.593692466,0.5,0.626101703,0.517241379
NIAG,2026,57,171.3174397,178,1633,194.9349004,209,1869,128.6513587,131,1289,138.0485644,136,1438,34.1730111,32,43.33288079,53,45.99483204,-31,46.77579388,-23.61746071,47.26806014,6.682560339,-14.06509963,-7.382539293,48.23824364,49.06367041,-9.397205699,2.348641253,2.048564446,-2.173011104,-9.667119209,46.63049686,10.90018371,88.81754949,99.7177332,3.005569117,3.419910533,3.122807018,3.666666667,2.257041382,2.421904639,2.298245614,2.385964912,0.599526511,0.561403509,0.760225979,0.929824561
